name,role,score,age,department,status
Aarav Sharma,Python Intern,88.5,21,Data & AI,Active
Priya Mehta,Data Intern,72.0,22,Analytics,Active
Rohan Verma,ML Intern,55.0,23,Data & AI,Inactive
Sneha Patel,Python Intern,91.0,20,Data & AI,Active
Karan Joshi,Data Intern,65.5,24,Analytics,Active
Meera Nair,ML Intern,78.0,21,Data & AI,Active
Arjun Singh,Python Intern,49.0,22,HR Tech,Inactive
Divya Rao,Data Intern,83.5,23,Analytics,Active
Nikhil Das,ML Intern,60.0,20,Data & AI,Active
Pooja Sharma,Python Intern,95.0,21,HR Tech,Active
